minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1197;50;10;Žiobiškio;513;218
1198;50;11;Kazliškio;470;241
1199;50;12;Konstantinavos;230;121
1200;50;13;Obelių;1014;530
1201;50;14;Pandėlio;1589;735
1202;50;15;Juodupės;1708;820
1203;50;16;Juodupės kaimiškoji;902;317
1204;50;17;Maineivų;308;154
1205;50;18;Lukštų;300;136
1206;50;19;Jūžintų;929;432
1207;50;20;Laibgalių;733;347
1208;50;21;Sėlynės;279;143
1209;50;22;Kamajų;642;336
1210;50;23;Aukštakalnių;353;182
1211;50;24;Duokiškio;242;136
1212;50;25;Kalvių;385;179
1213;50;26;Salų;448;230
1214;50;27;Kriaunų;528;248
1215;50;28;Lašų;322;178
1216;50;29;Kairelių;295;164
1217;50;30;Pakriaunių;257;139
1218;50;31;Aleksandravėlės;205;104
1219;50;32;Zarinkiškių;248;108
1220;50;33;Antanašės;378;178
1221;50;34;Obelių;594;287
1222;50;35;Suvainiškio;239;123
1223;50;37;Sriubiškių;300;153
1224;50;38;Lailūnų;305;157
1225;50;40;Panemunio;348;165
1226;50;41;Stoties;892;440
1227;50;42;Panemunėlio;398;186
1228;51;1;Aukštakalnio;2321;1048
1229;51;2;Taikos;2852;1464
1230;51;3;Aušros;2571;1365
1231;51;4;Dauniškio;2243;1126
1232;51;5;Vyturių;2651;1284
1233;51;6;Centro;1958;869
1234;51;7;Basanavičiaus;2467;1307
1235;51;8;Ąžuolijos;2452;1260
1236;51;9;Krašuonos;2531;1365
1237;51;10;Daugailių;603;267
1238;51;11;Radeikių;505;256
1239;51;12;Juknėnų;185;85
1240;51;13;Kuktiškių;733;305
1241;51;14;Leliūnų;662;347
1242;51;15;Antalgės;905;419
1243;51;16;Pakalnių;939;448
1244;51;17;Saldutiškio;563;314
1245;51;18;Kirdeikių;376;199
1246;51;19;Sudeikių;696;295
1247;51;20;Sirutėnų;450;225
1248;51;21;Tauragnų;1353;685
1249;51;22;Pačkėnų;821;364
1250;51;23;Biliakiemio;727;326
1251;51;24;Vaikutėnų;554;248
1252;51;25;Užpalių;1165;617
1253;51;26;Kaniukų;370;185
1254;51;27;Vilučių;242;108
1255;51;28;Vyžuonų;760;412
1256;51;29;Vyžuonėlių;1041;466
1257;51;30;Naujasodžio;1858;890
1258;51;31;Smėlio;2046;819
1259;52;1;Antalieptės;657;344
1260;52;1;Draugystės;1527;684
1261;52;2;Antazavės;536;348
1262;52;2;Gerosios Vilties;1071;434
1263;52;3;Sedulinos;1139;441
1264;52;3;Šniukštų;334;172
1265;52;4;Atgimimo;1371;572
1266;52;4;Baibių;502;256
1267;52;5;Ateities;1546;592
1268;52;5;Degučių;414;203
1269;52;6;Atžalyno;1544;623
1270;52;6;Avilių;349;254
1271;52;7;Imbrado;531;264
1272;52;7;Orbitos;1023;300
1273;52;8;Biržūnų;274;159
1274;52;8;Kosmoso;1059;418
1275;52;9;Salako;705;377
1276;52;9;Taikos;1223;494
1277;52;10;Samanių;263;134
1278;52;10;Vilties;1277;517
1279;52;11;Bangos;1286;540
1280;52;11;Suvieko;416;240
1281;52;12;Auksinio gaidelio;1260;506
1282;52;12;Dimitriškių;507;225
1283;52;13;Magučių;572;200
1284;52;13;Vilties šaltinio;1258;522
1285;52;14;Gintarėlio;1531;595
1286;52;14;Šaulių;346;152
1287;52;15;Ąžuoliuko;1296;427
1288;52;15;Štadvilių;617;324
1289;52;16;Kimbartiškės;366;164
1290;52;16;Žiburio;1552;602
1291;52;17;Smalvų;265;134
1292;52;18;Turmanto;712;261
1293;52;19;Dusetų;1129;475
1294;52;20;Sadūnų;270;139
1295;52;21;Užtiltės;1200;546
1296;52;22;Zarasų rytų;3101;1512
1297;52;23;Zarasų vakarų;1842;863
1298;52;24;Zarasų šiaurės;1565;832
1299;53;1;Antalksnės;254;158
1300;53;2;Bernotų;262;157
1301;53;3;Ceikinių;352;220
1302;53;4;Didžiasalio;1309;503
1303;53;5;Dysnos;410;228
1304;53;6;Dūkšto;1213;551
1305;53;6;Pašaminės;679;330
1306;53;7;Gilūtų;221;138
