minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1763;66;13;Juragių;653;500
1764;66;14;Ilgakiemio;2264;1668
1765;66;16;Karmėlavos;1708;946
1766;66;17;Ramučių;884;658
1767;66;18;Neveronių;1667;1152
1768;66;19;Noreikiškių;2193;1155
1769;66;20;Ringaudų;1206;1039
1770;66;21;Tabariškių;1934;1342
1771;66;24;Minkėnų;1475;1122
1772;66;28;Šlienavos;1355;860
1773;66;29;Girionių;1454;785
1774;66;30;Taurakiemio;1266;697
1775;66;38;Zapyškio;1088;807
1776;66;39;Altoniškių;711;453
1777;66;40;Ežerėlio;1545;1191
1778;66;40;Garliavos;3459;2759
1779;66;41;Garliavos;2517;1947
1780;66;42;Garliavos;3284;2384
1781;66;44;Kačerginės;524;414
1782;66;122;Rokų;1435;889
1783;66;123;Vaišvydavos;1222;997
1784;66;125;Kazliškių;868;653
1785;66;126;Tirkiliškių;1366;1208
1786;67;1;Birštono m.;2400;1804
1787;67;1;Dariaus ir Girėno;2082;1382
1788;67;2;Birštono vienkiemio;1281;895
1789;67;2;J.Basanavičiaus;2284;1574
1790;67;3;Kęstučio;1243;926
1791;67;3;Nemajūnų;604;401
1792;67;4;Statybininkų;2643;1839
1793;67;5;Tartupio;408;259
1794;67;6;Šiauliškių;603;405
1795;67;7;Išlaužo;734;571
1796;67;8;Naujosios Ūtos;430;284
1797;67;9;Jiestrakio;523;383
1798;67;10;Klebiškio;468;260
1799;67;11;Šilavoto;628;456
1800;67;12;Kuprių;410;228
1801;67;13;Skriaudžių;689;509
1802;67;14;Petkeliškių;496;364
1803;67;15;Veiverių;1397;974
1804;67;16;Balbieriškio miestelio;850;599
1805;67;17;Jiezno miesto;1196;983
1806;67;18;Liciškėnų;981;464
1807;67;19;Kašonių;825;417
1808;67;20;Vėžionių;331;219
1809;67;21;Ašmintos;615;364
1810;67;22;Strielčių;871;525
1811;67;23;Balbieriškio kaimiškoji;557;323
1812;67;24;Kunigiškių;799;570
1813;67;25;Sūkurių;337;237
