minor_gid,major_id,minor_id,minor_name,registered_voters,votes
662624,59,27,Pravieniškių,1898,762
662626,59,28,Dovainonių,756,386
662628,59,29,Antakalnio,599,262
662632,65,24,Batniavos,1043,485
662634,65,34,Vandžiogalos,1264,545
662636,65,35,Padauguvos,331,147
662638,65,36,Saulėtekių,572,207
662640,65,37,Daugėliškių,392,158
662642,65,45,Kulautuvos,1271,760
662644,65,48,Žalgirio,1618,857
662646,66,1,Mastaičių,1668,911
662648,66,2,Pažėrų,725,280
662650,66,13,Juragių,753,327
662652,64,39,Altoniškių,759,280
662654,64,40,Ežerėlio,1412,622
662656,66,41,Garliavos,1965,988
662658,66,42,Liepų,1820,962
662660,66,43,Jonučių,1861,911
662662,66,44,Kačerginės,636,410
662664,66,47,Linksmakalnio,540,256
662666,66,49,Meno mokyklos,1762,835
662668,65,50,Mokyklos,848,331
662670,43,2,Aristavos,550,215
662672,43,4,Babėnų,2287,1097
662674,43,6,Vikaičių,417,156
662676,43,7,Dotnuvos,1140,454
662678,43,33,Pergalės,2244,1013
662680,43,35,Petkūnų,166,74
662682,43,36,Radvilų,1977,930
662684,43,38,Senamiesčio,1014,541
662686,43,39,Sirutiškio,359,196
662688,43,41,Smilgos,1474,793
662690,43,42,Statybininkų,1094,379
662692,43,43,Surviliškio,432,213
662694,43,44,Šėtos,876,381
662696,43,45,Šlapaberžės,510,206
662698,43,46,Taikos,2162,1049
662700,43,47,Tiskūnų,681,316
662702,43,15,Labūnavos,702,317
662704,42,17,Langakių,285,150
662706,42,21,Meironiškio,324,131
662708,43,24,Nociūnų,536,212
662710,42,26,Paaluonio,213,107
662712,42,28,Pajieslio,414,208
662714,24,30,Olimpijos,1614,634
662716,42,30,Pašušvio,343,157
662718,43,31,Pelėdnagių,1591,780
662720,42,32,Pelutavos,280,124
662722,42,34,Pernaravos,310,138
662724,46,6,Darginių,209,68
662726,46,10,Gasčiūnų,354,149
662728,46,13,Plikiškių,220,104
662730,46,14,Kepalių,351,171
662732,46,15,Kirnaičių,302,135
662734,46,16,Kriukų,390,137
662736,46,19,Mindaugių,262,92
662738,46,21,Satkūnų,302,122
662740,46,25,Bučiūnų,150,61
662742,46,26,Lieporų,138,55
662744,63,6,Mockų,282,123
662746,63,7,Jusevičių,581,250
662748,63,8,Sangrūdos,449,215
662750,63,9,Radiškės,288,120
662752,63,10,Salaperaugio,268,84
662754,63,11,Liubavo,262,115
662756,63,12,Brazavo,309,136
662758,63,13,Jurgežerių,284,111
662760,63,14,Tarprubežių,269,124
662762,63,15,Akmenynų,280,116
662764,63,16,Kampinių,303,90
662766,63,17,Aistiškių,274,121
662768,59,1,Vytauto,970,455
662770,59,13,Dainių,533,223
662772,59,14,Stasiūnų,966,384
662774,59,15,Melioratorių,898,362
662776,59,16,Žiežmarių,1555,706
662778,59,17,Gudienos,1756,780
